column,dtype,missing_count,missing_rate,unique_count
SEQN,float64,0,0.0,10499
cycle,object,0,0.0,4
disability_stage,float64,0,0.0,4
upper_limb_difficulty,float64,8,0.00038098866558719876,2
mobility_difficulty,float64,276,0.013144108962758357,2
adl_difficulty,float64,4,0.00019049433279359938,2
age,float64,0,0.0,60
sex,float64,0,0.0,2
race_ethnicity,float64,2566,0.122202114487094,4
education,float64,2047,0.0974854748071245,4
income_poverty_ratio,float64,5022,0.23916563482236403,493
BMI,float64,686,0.0326697780741023,853
height_cm,float64,642,0.030574340413372703,858
weight_kg,float64,675,0.0321459186589199,1491
mean_SBP,float64,871,0.04148014096580627,869
mean_DBP,float64,1106,0.052671683017430235,927
max_grip_strength,float64,6120,0.29145632917420705,6291
HbA1c,float64,1273,0.06062482141156301,452
fasting_glucose,float64,6005,0.2859796171063911,5206
total_cholesterol,float64,1112,0.05295742451662063,393
HDL,float64,1162,0.05533860367654062,284
triglycerides,float64,6054,0.2883131726831127,5377
LDL,float64,6155,0.29312315458615107,5919
smoking_status,float64,22,0.0010477188303647967,3
MET_min_week,float64,5,0.00023811791599199925,284
meets_activity_guideline,float64,5,0.00023811791599199925,2
sedentary_minutes_day,float64,113,0.005381464901419183,110
PHQ9_score,float64,1367,0.0651014382322126,976
PHQ9_category,float64,1615,0.07691208686541576,5
arthritis,float64,80,0.003809886655871988,2
arthritis_type,float64,13796,0.6570149538051243,4
medication_count,int64,0,0.0,22
polypharmacy,int64,0,0.0,2
source_file,object,0,0.0,5
SEQN_cycle_key,object,10499,0.5,10499
