fraction,fold,latent_dim,wasserstein,macro_f1
0.05,0,12,0.3601830317136192,0.26704996590461316
0.05,0,16,0.3570676105510893,0.23012487220770753
0.05,0,20,0.3609572478369801,0.21096279407247723
0.05,0,23,0.3677660498545616,0.21121849720100583
0.05,1,12,0.36545221876107215,0.18636341685923405
0.05,1,16,0.3663125845718192,0.24533635713547486
0.05,1,20,0.36308628584578195,0.18590231415720995
0.05,1,23,0.36740541933966514,0.20518819189218457
0.05,2,12,0.37410635500703293,0.19445160768133238
0.05,2,16,0.36962589327387796,0.23170988516597263
0.05,2,20,0.37207091723470775,0.18284753577669285
0.05,2,23,0.37798404587492634,0.2301533809385019
0.05,3,12,0.3829622988901507,0.2763466511173144
0.05,3,16,0.3787810899162909,0.20869844946278066
0.05,3,20,0.3826001301365044,0.2738636577073137
0.05,3,23,0.387245775747818,0.2143604894897309
0.05,4,12,0.3732371366248376,0.24020124660168424
0.05,4,16,0.36917494121984445,0.2050618841284746
0.05,4,20,0.37110016390774797,0.207588489380252
0.05,4,23,0.3744980099415732,0.19190212420205952
0.1,0,12,0.3709735413142786,0.23606639584049685
0.1,0,16,0.3617632565957094,0.1842043692061314
0.1,0,20,0.3619141798030007,0.21688867310666615
0.1,0,23,0.3691159204860302,0.20755932358293042
0.1,1,12,0.35884562585197183,0.22502419513513242
0.1,1,16,0.3563335620729185,0.20053906054041665
0.1,1,20,0.36184960168100383,0.17917574084305282
0.1,1,23,0.3642398894270605,0.24397721539753187
0.1,2,12,0.3827801193743577,0.23189181826241811
0.1,2,16,0.3690196124254026,0.24330165564730358
0.1,2,20,0.37330682001874643,0.2466374408448443
0.1,2,23,0.378049356572359,0.21938879212157922
0.1,3,12,0.3874010208644052,0.22307058195457166
0.1,3,16,0.37298087461727786,0.2114791363172413
0.1,3,20,0.3744516308293992,0.20744233195085096
0.1,3,23,0.3783506383942027,0.22030423315858352
0.1,4,12,0.38628054438807274,0.20235306829509728
0.1,4,16,0.3797378054452608,0.207630293381802
0.1,4,20,0.3781105745398136,0.2179523649920527
0.1,4,23,0.3813236338562718,0.21243638724596842
0.2,0,12,0.37957575365067003,0.21944423714427508
0.2,0,16,0.3663559748703058,0.22924817717653848
0.2,0,20,0.36903118139930763,0.23145929793112288
0.2,0,23,0.3738414851482581,0.2215004443507711
0.2,1,12,0.3750326064202744,0.23094653593650896
0.2,1,16,0.3644172556123194,0.21273843429822784
0.2,1,20,0.3662840692836596,0.200171998624011
0.2,1,23,0.3691728100945595,0.22220337073466095
0.2,2,12,0.3819114315790676,0.25314284632131523
0.2,2,16,0.3717061053460883,0.23130555018495288
0.2,2,20,0.3721285909983067,0.21344564149989417
0.2,2,23,0.37583746471730833,0.18910060782180402
0.2,3,12,0.37549946928688843,0.2136586734140846
0.2,3,16,0.3596438860291793,0.22962815213251397
0.2,3,20,0.3655298889393907,0.22916091107980074
0.2,3,23,0.3689749751604083,0.2151492734731205
0.2,4,12,0.36891844685285946,0.23143069362156474
0.2,4,16,0.3569383603070435,0.2052721677908476
0.2,4,20,0.358889654822488,0.21344926850855575
0.2,4,23,0.3686965256839133,0.22112599460670426
0.3,0,12,0.37275246764392966,0.21988479601551106
0.3,0,16,0.36316649746825214,0.22134804957255416
0.3,0,20,0.36463576459153024,0.23089879360209006
0.3,0,23,0.3698882751649885,0.26018983847992494
0.3,1,12,0.3806760139880267,0.2061125664756347
0.3,1,16,0.36984792544007883,0.2232407966608428
0.3,1,20,0.3694257490291939,0.24373339508181568
0.3,1,23,0.3742305541711192,0.23223068884641465
0.3,2,12,0.3726725131436635,0.25150583786538405
0.3,2,16,0.35968338610397516,0.21038088471443414
0.3,2,20,0.3659809225901735,0.18193170032638833
0.3,2,23,0.3688019939682016,0.21213825746632173
0.3,3,12,0.3783895353894455,0.2087522940642161
0.3,3,16,0.3665662010647417,0.19997560028341138
0.3,3,20,0.3699524606577772,0.23057089536840458
0.3,3,23,0.3719050702399117,0.21669813289270456
0.3,4,12,0.3707398415769414,0.22426046776472486
0.3,4,16,0.36159650430289003,0.2185882450604611
0.3,4,20,0.3642280195168604,0.20724134947408354
0.3,4,23,0.3702038885258206,0.22226927544208572
