,cycle,upper_limb_difficulty,adl_difficulty,age,sex,race_ethnicity,education,income_poverty_ratio,BMI,height_cm,weight_kg,mean_SBP,mean_DBP,max_grip_strength,HbA1c,fasting_glucose,total_cholesterol,HDL,triglycerides,LDL,smoking_status,MET_min_week,meets_activity_guideline,sedentary_minutes_day,PHQ9_score,PHQ9_category,arthritis,arthritis_type,medication_count,polypharmacy
cycle,1.0,0.07049775982227886,0.058950807292213525,0.017286120960498908,-0.019267890287965352,-0.040568926884273555,0.042220390700123046,0.03805701585505759,0.0457528630823446,-0.002858604765642022,0.03974507088296132,0.06032894514560288,0.043744559760148856,-0.03896173848569144,0.017244930429347726,0.03318394722689437,-0.04298931600946266,0.018268420804532733,-0.04513511452506238,-0.01708537133498628,-0.0007240411834402353,0.0747357281076549,0.06740812187478257,-0.08352775215019047,-0.005365111786882054,-0.004367907278508622,0.0291465296667119,0.0467210584533831,0.013162069116938032,0.018609691699767974
upper_limb_difficulty,0.07049775982227886,1.0,0.4521184987117387,0.018338297061429278,0.1331473267323329,-0.016148344397850452,-0.09100676225114633,-0.11426291074054847,0.09241665321090245,-0.13273606162089013,0.02164323726456014,0.020588335054206708,-0.017889017078330193,-0.1537965039656738,0.04354786921452031,0.04049235124585856,-0.029523881307533587,-0.018090212715374948,-0.0031143166318332743,-0.020923027555011492,0.06619283193797214,-0.06320509449579904,-0.09738474053148806,0.065103061279113,0.2401371202734949,0.20842366869406226,0.2609219143177554,0.09927688220498578,0.26560578103258226,0.23352927415897498
adl_difficulty,0.058950807292213525,0.4521184987117387,1.0,0.018703141647380583,-0.012949388417811167,-0.022729513514029544,-0.08108859911358438,-0.08801235859078149,0.12330479819788534,-0.023428198299358244,0.10044997548770786,0.01006936684404016,0.0018480116614764531,-0.07265496239253791,0.06551565683542841,0.05579917866830559,-0.046917736667137167,-0.05717053056653594,-0.008300415274501816,-0.01611526760137584,0.05206624420418041,-0.04895271828264018,-0.07641556214943117,0.058591129694045334,0.23368460096694954,0.2057272397886103,0.19788939794106053,0.08035424305835794,0.23892006421257858,0.20430539468118838
age,0.017286120960498908,0.018338297061429278,0.018703141647380583,1.0,-0.0077245165226715274,0.006220299362027615,-0.06538404960156846,0.12786936441335675,-0.13143666344565424,-0.15698043395928812,-0.1886751100598009,0.3105065762452992,-0.18840317595376865,-0.23255610364825496,0.11473869263137451,0.07388836557705974,-0.040906002433816376,0.10744682282554593,-0.0610366717501627,-0.04168461025028951,-0.15303043377433068,-0.14710890149364378,-0.1429166327051557,0.007011984678684064,-0.2415326246917931,-0.22514513299533434,0.166402649055027,0.003556334425286074,0.20876466155760487,0.1885887722383262
sex,-0.019267890287965352,0.1331473267323329,-0.012949388417811167,-0.0077245165226715274,1.0,-0.01083088272681037,0.019487699916085725,-0.019066775369696098,0.11583783858162104,-0.6510715684314693,-0.19285347182199086,0.010945151215279138,-0.08271971123445129,-0.46389735057105197,-0.014508596864356018,-0.04487490857704049,0.18504448797598477,0.2601656959453805,0.019590352935216587,0.08048495798548273,-0.1876342569644307,-0.08979936122078318,-0.08010463224827791,-0.0041400986961924085,0.10419736575748122,0.08988335927394987,0.15902326757544222,0.026718726543314832,0.045284635819114835,0.04132274475383455
race_ethnicity,-0.040568926884273555,-0.016148344397850452,-0.022729513514029544,0.006220299362027615,-0.01083088272681037,1.0,0.24955600726561702,0.048365149153173304,-0.00855096293007419,0.20657864362561776,0.0877921912441244,0.05136261771512296,0.06687337998870399,0.09149816996209646,-0.06016008998883461,-0.06532710558422898,-0.02250211338315011,0.11557205760470281,-0.07268811948028206,-0.017674965555383386,0.08376389683950311,-0.017485445787443578,0.02129960464374018,0.1381382756133405,-0.033986264013542294,-0.032127844525777764,0.03846161460453224,0.017708749992791865,0.05163024408950765,0.0551810360947833
education,0.042220390700123046,-0.09100676225114633,-0.08108859911358438,-0.06538404960156846,0.019487699916085725,0.24955600726561702,1.0,0.21632465072004,0.03320476158946398,0.1652360698591152,0.10601836331655051,-0.06183810046323579,0.04423951707075441,0.08731592265446031,-0.08806887068724231,-0.05598463533667747,0.03896503696969306,0.07192545136435825,0.0031595259541271612,0.018912080890530973,-0.01117729066106198,0.04343084186022426,0.13216950572002592,0.12258125359806428,-0.054405143651515095,-0.0471464193658035,0.017928736751528063,0.005317016065844271,-0.012871908393495037,-0.015683406425625986
income_poverty_ratio,0.03805701585505759,-0.11426291074054847,-0.08801235859078149,0.12786936441335675,-0.019066775369696098,0.048365149153173304,0.21632465072004,1.0,-0.019578854503714063,0.042360412535514334,0.002918035526566392,0.002309996409097487,-0.037993956441355725,0.025879138894485038,-0.030147538778036075,-0.02876814479125879,0.0072594446330480275,0.04911917477719641,-0.014847628863756396,-0.0003976154000898714,-0.10575159955155435,0.018243224760073153,0.059331165238988536,0.04113169656592821,-0.13020887166578976,-0.11869944431380781,0.008041979123305685,-0.024339231662061995,-0.013364722922553071,-0.01062778664177455
BMI,0.0457528630823446,0.09241665321090245,0.12330479819788534,-0.13143666344565424,0.11583783858162104,-0.00855096293007419,0.03320476158946398,-0.019578854503714063,1.0,-0.029001156494782587,0.8786922791757602,-0.0010543578469336416,0.048363947937773946,0.07323161161791122,0.1600700422923575,0.1358518806531859,-0.035502016575314585,-0.23417198056894487,0.07607343814623926,-0.004873260039015624,-0.048082282666611444,-0.012031826930299607,-0.01854514600511078,0.1298924117518106,0.12686718860277918,0.12422885328139723,0.1682370755380676,0.06619092469272783,0.200628285121674,0.17358345709611828
height_cm,-0.002858604765642022,-0.13273606162089013,-0.023428198299358244,-0.15698043395928812,-0.6510715684314693,0.20657864362561776,0.1652360698591152,0.042360412535514334,-0.029001156494782587,1.0,0.4278440076442813,-0.09783959531555035,0.1297608699443349,0.5476450489711167,-0.02672806638052717,0.0134430583796768,-0.1217528899671956,-0.18395893070900138,-0.013409464084967319,-0.04299457753836957,0.22075578318219904,0.09511095524478078,0.12449780481172362,0.0699397287823891,-0.03023040092572083,-0.02008032876347485,-0.08511640033977509,-0.01761187410248446,-0.03738203250778525,-0.03216553505131367
