dataset,column,dtype,missing_count,missing_rate,non_missing_rate,unique_count
HRS,hhidpn,int32,0,0.0,1.0,45234
HRS,s1hhidpn,float64,32582,0.7202988902153248,0.2797011097846752,10280
HRS,r1mstat,float64,32582,0.7202988902153248,0.2797011097846752,7
HRS,r1mpart,float64,32582,0.7202988902153248,0.2797011097846752,2
HRS,s1bmonth,float64,34955,0.7727594287482867,0.22724057125171326,12
HRS,s1byear,float64,34955,0.7727594287482867,0.22724057125171326,60
HRS,s1bdate,float64,34955,0.7727594287482867,0.22724057125171326,528
HRS,s1bflag,float64,34955,0.7727594287482867,0.22724057125171326,2
HRS,s1cohbyr,float64,34955,0.7727594287482867,0.22724057125171326,8
HRS,s1hrsamp,float64,34955,0.7727594287482867,0.22724057125171326,2
HRS,s1ahdsmp,float64,34955,0.7727594287482867,0.22724057125171326,2
HRS,s1dmonth,float64,39979,0.8838263253305036,0.11617367466949635,12
HRS,s1dyear,float64,39953,0.8832515364548791,0.11674846354512092,32
HRS,s1ddate,float64,39953,0.8832515364548791,0.11674846354512092,379
HRS,s1dsrc,float64,39953,0.8832515364548791,0.11674846354512092,4
HRS,s1dtimtdth,float64,39980,0.8838484325949507,0.11615156740504928,144
HRS,s1dage_y,float64,39953,0.8832515364548791,0.11674846354512092,59
HRS,s1dage_m,float64,39953,0.8832515364548791,0.11674846354512092,537
HRS,s1racem,float64,35086,0.7756554803908564,0.2243445196091436,3
HRS,s1hispan,float64,35094,0.7758323385064332,0.22416766149356682,2
HRS,s1gender,float64,34955,0.7727594287482867,0.22724057125171326,2
HRS,s1educ,float64,35099,0.7759428748286687,0.22405712517133125,5
HRS,s1edyrs,float64,35099,0.7759428748286687,0.22405712517133125,18
HRS,s1edegrm,float64,35091,0.775766016713092,0.22423398328690802,9
HRS,s1relig,float64,35133,0.77669452181987,0.22330547818013002,5
HRS,s1vetrn,float64,35115,0.7762965910598223,0.2237034089401777,2
HRS,s1meduc,float32,36020,0.7963036653844453,0.2036963346155547,20
HRS,s1feduc,float32,36284,0.802139983198479,0.197860016801521,20
HRS,s1bplace,float64,35113,0.776252376530928,0.22374762346907195,13
HRS,s1bplacf,float64,34955,0.7727594287482867,0.22724057125171326,3
HRS,s1iwbeg,float64,35334,0.7811380819737366,0.21886191802626342,340
HRS,s1iwend,float64,35334,0.7811380819737366,0.21886191802626342,340
HRS,s1iwmid,float32,35334,0.7811380819737366,0.21886191802626342,472
HRS,s1iwmidf,float64,35334,0.7811380819737366,0.21886191802626342,3
HRS,s1iwstat,float64,34955,0.7727594287482867,0.22724057125171326,2
HRS,s1iwendm,float64,35334,0.7811380819737366,0.21886191802626342,12
HRS,s1iwendy,float64,35334,0.7811380819737366,0.21886191802626342,2
HRS,s1proxy,float64,35334,0.7811380819737366,0.21886191802626342,2
HRS,s1iwbegf,float64,35334,0.7811380819737366,0.21886191802626342,2
HRS,s1iwendf,float64,35334,0.7811380819737366,0.21886191802626342,4
HRS,s1mstat,float64,35334,0.7811380819737366,0.21886191802626342,3
HRS,s1mstath,float64,35334,0.7811380819737366,0.21886191802626342,7
HRS,s1mstatf,float64,35334,0.7811380819737366,0.21886191802626342,1
HRS,s1mrct,float64,35349,0.781469690940443,0.21853030905955695,9
HRS,s1mlen,float64,35334,0.7811380819737366,0.21886191802626342,448
HRS,s1mlenm,float64,35334,0.7811380819737366,0.21886191802626342,7
HRS,s1mcurln,float64,35679,0.7887650882079852,0.2112349117920148,458
HRS,s1mdiv,float64,35334,0.7811380819737366,0.21886191802626342,5
HRS,s1mwid,float64,35334,0.7811380819737366,0.21886191802626342,4
HRS,s1mend,float64,35349,0.781469690940443,0.21853030905955695,7
HRS,s1mnev,float64,35334,0.7811380819737366,0.21886191802626342,2
HRS,s1mpart,float64,35334,0.7811380819737366,0.21886191802626342,2
HRS,s1oahdid,float64,34955,0.7727594287482867,0.22724057125171326,108
HRS,s1ohrsid,float64,34955,0.7727594287482867,0.22724057125171326,110
HRS,s1wtresp,float64,35334,0.7811380819737366,0.21886191802626342,1738
HRS,s1wtcrnh,float64,35334,0.7811380819737366,0.21886191802626342,1738
