dataset,column,dtype,missing_count,missing_rate,non_missing_rate,unique_count
NHANES,seqn,float64,0,0.0,1.0,10499
NHANES,cycle,object,0,0.0,1.0,4
NHANES,disability_stage,float64,0,0.0,1.0,4
NHANES,upper_limb_difficulty,float64,4,0.00038098866558719876,0.9996190113344128,2
NHANES,mobility_difficulty,float64,138,0.013144108962758357,0.9868558910372417,2
NHANES,adl_difficulty,float64,2,0.00019049433279359938,0.9998095056672064,2
NHANES,age,float64,0,0.0,1.0,60
NHANES,sex,float64,0,0.0,1.0,2
NHANES,race_ethnicity,float64,1283,0.122202114487094,0.877797885512906,4
NHANES,education,float64,2047,0.194970949614249,0.805029050385751,4
NHANES,income_poverty_ratio,float64,2511,0.23916563482236403,0.7608343651776359,493
NHANES,bmi,float64,686,0.0653395561482046,0.9346604438517954,451
NHANES,height_cm,float64,642,0.061148680826745405,0.9388513191732546,546
NHANES,weight_kg,float64,675,0.0642918373178398,0.9357081626821602,1126
NHANES,mean_sbp,float64,871,0.08296028193161253,0.9170397180683875,237
NHANES,mean_dbp,float64,1106,0.10534336603486047,0.8946566339651395,144
NHANES,max_grip_strength,float64,6120,0.5829126583484141,0.4170873416515859,517
NHANES,hba1c,float64,1273,0.12124964282312602,0.878750357176874,106
NHANES,fasting_glucose,float64,6005,0.5719592342127822,0.42804076578721784,271
NHANES,total_cholesterol,float64,1112,0.10591484903324126,0.8940851509667588,284
NHANES,hdl,float64,1162,0.11067720735308124,0.8893227926469187,124
NHANES,triglycerides,float64,6054,0.5766263453662254,0.42337365463377463,394
NHANES,ldl,float64,6155,0.5862463091723021,0.41375369082769786,836
NHANES,smoking_status,float64,11,0.0010477188303647967,0.9989522811696352,3
NHANES,met_min_week,float64,5,0.0004762358319839985,0.999523764168016,282
NHANES,meets_activity_guideline,float64,5,0.0004762358319839985,0.999523764168016,2
NHANES,sedentary_minutes_day,float64,113,0.010762929802838366,0.9892370701971617,49
NHANES,phq9_score,float64,1367,0.1302028764644252,0.8697971235355748,28
NHANES,phq9_category,float64,1367,0.1302028764644252,0.8697971235355748,5
NHANES,arthritis,float64,40,0.003809886655871988,0.996190113344128,2
NHANES,arthritis_type,float64,6898,0.6570149538051243,0.3429850461948757,4
NHANES,medication_count,int64,0,0.0,1.0,22
NHANES,polypharmacy,int64,0,0.0,1.0,2
NHANES,source_file,object,0,0.0,1.0,4
