component,explained_variance_ratio,cumulative_explained_variance
1,0.11126755444184154,0.11126755444184154
2,0.09858048489455945,0.209848039336401
3,0.07628348030923202,0.286131519645633
4,0.0662761849753891,0.3524077046210221
5,0.057808228156403116,0.41021593277742524
6,0.05116437487294371,0.46138030765036897
7,0.04966028203976221,0.5110405896901312
8,0.04532721150372442,0.5563678011938556
9,0.04135951440867544,0.5977273156025311
10,0.036149979350037574,0.6338772949525687
11,0.03432585130959935,0.668203146262168
12,0.03385810208711045,0.7020612483492785
13,0.032808799770004046,0.7348700481192826
14,0.03005011530891733,0.7649201634281999
15,0.027859570570677863,0.7927797339988778
16,0.025741611922165605,0.8185213459210434
17,0.025424907245848543,0.843946253166892
18,0.023570163340329783,0.8675164165072218
19,0.021658335631599565,0.8891747521388214
20,0.019222573618267156,0.9083973257570885
21,0.017603550366056382,0.926000876123145
22,0.01578292270342817,0.9417837988265731
23,0.01512884504789883,0.956912643874472
24,0.012850202679531422,0.9697628465540034
25,0.009497159247536135,0.9792600058015395
26,0.008374659971300644,0.9876346657728401
27,0.005844365624239445,0.9934790313970795
28,0.004631764088430033,0.9981107954855095
29,0.0015239157935999425,0.9996347112791094
30,0.0003652887208907419,1.0000000000000002
