component,feature,loading,abs_loading
PC1,medication_count,0.39933055394391864,0.39933055394391864
PC1,polypharmacy,0.37294352665715047,0.37294352665715047
PC1,PHQ9_score,0.28103182683201844,0.28103182683201844
PC1,upper_limb_difficulty,0.274077917404443,0.274077917404443
PC1,BMI,0.272241973750702,0.272241973750702
PC1,PHQ9_category,0.26865551163984064,0.26865551163984064
PC1,adl_difficulty,0.26346612434698635,0.26346612434698635
PC1,arthritis,0.24330858419844711,0.24330858419844711
PC1,weight_kg,0.22745208224583946,0.22745208224583946
PC1,HbA1c,0.21654750414879112,0.21654750414879112
PC1,fasting_glucose,0.19412110353256556,0.19412110353256556
PC1,HDL,-0.15113622834187712,0.15113622834187712
PC1,total_cholesterol,-0.12680843498273867,0.12680843498273867
PC1,meets_activity_guideline,-0.12493796170419627,0.12493796170419627
PC1,sedentary_minutes_day,0.1247879308273287,0.1247879308273287
PC2,height_cm,0.45459756486455716,0.45459756486455716
PC2,max_grip_strength,0.41821979161745465,0.41821979161745465
PC2,weight_kg,0.37965108481969473,0.37965108481969473
PC2,sex,-0.3700498782759773,0.3700498782759773
PC2,age,-0.2421111439266203,0.2421111439266203
PC2,HDL,-0.24108576776168586,0.24108576776168586
PC2,BMI,0.19078490993140554,0.19078490993140554
PC2,meets_activity_guideline,0.17638834968205636,0.17638834968205636
PC2,MET_min_week,0.1674834289474683,0.1674834289474683
PC2,smoking_status,0.16356094097715665,0.16356094097715665
PC2,mean_DBP,0.12882466805643986,0.12882466805643986
PC2,upper_limb_difficulty,-0.11233815005888165,0.11233815005888165
PC2,education,0.11171071426259892,0.11171071426259892
PC2,total_cholesterol,-0.1025747560581024,0.1025747560581024
PC2,mean_SBP,-0.09942207118539056,0.09942207118539056
PC3,PHQ9_score,0.43611039529591816,0.43611039529591816
PC3,PHQ9_category,0.43208307434500354,0.43208307434500354
PC3,total_cholesterol,0.3538984173021884,0.3538984173021884
PC3,age,-0.3369069310226454,0.3369069310226454
PC3,LDL,0.27997607722128576,0.27997607722128576
PC3,polypharmacy,-0.18946911060223845,0.18946911060223845
PC3,medication_count,-0.18696439816833044,0.18696439816833044
PC3,sex,0.18348951309991163,0.18348951309991163
PC3,triglycerides,0.17524406588734964,0.17524406588734964
PC3,HbA1c,-0.16961695209169608,0.16961695209169608
PC3,income_poverty_ratio,-0.14431398921268543,0.14431398921268543
PC3,mean_DBP,0.1433985160532516,0.1433985160532516
PC3,fasting_glucose,-0.14095807307369987,0.14095807307369987
PC3,upper_limb_difficulty,0.11843821564528347,0.11843821564528347
PC3,smoking_status,0.1086031757850955,0.1086031757850955
PC4,fasting_glucose,0.4235905253617401,0.4235905253617401
PC4,HbA1c,0.3990472091623366,0.3990472091623366
PC4,triglycerides,0.3919635077649636,0.3919635077649636
PC4,total_cholesterol,0.37148766845497544,0.37148766845497544
PC4,LDL,0.24124447376958388,0.24124447376958388
PC4,BMI,0.2103065814456842,0.2103065814456842
PC4,mean_SBP,0.20695362927771851,0.20695362927771851
PC4,PHQ9_score,-0.15703395391367314,0.15703395391367314
PC4,weight_kg,0.156732243012417,0.156732243012417
PC4,mean_DBP,0.15302343590969625,0.15302343590969625
PC4,HDL,-0.14985184498467607,0.14985184498467607
PC4,PHQ9_category,-0.14905387356038838,0.14905387356038838
PC4,smoking_status,-0.13604053321667947,0.13604053321667947
PC4,race_ethnicity,-0.13408445067677957,0.13408445067677957
PC4,upper_limb_difficulty,-0.1037982746762832,0.1037982746762832
PC5,education,0.3813513498256589,0.3813513498256589
PC5,race_ethnicity,0.3419826050509616,0.3419826050509616
PC5,BMI,0.2681951927649215,0.2681951927649215
PC5,arthritis,0.2622127205122143,0.2622127205122143
PC5,weight_kg,0.26128559988349487,0.26128559988349487
PC5,fasting_glucose,-0.24476740547163284,0.24476740547163284
PC5,HbA1c,-0.24154134389678514,0.24154134389678514
PC5,income_poverty_ratio,0.2360292531525794,0.2360292531525794
PC5,sedentary_minutes_day,0.22848249485057298,0.22848249485057298
PC5,total_cholesterol,0.22272010679941498,0.22272010679941498
PC5,HDL,0.2090223927879784,0.2090223927879784
PC5,LDL,0.20498423817732048,0.20498423817732048
PC5,sex,0.16175069399813763,0.16175069399813763
PC5,arthritis_type,0.1612123765811003,0.1612123765811003
PC5,PHQ9_category,-0.14600692704386198,0.14600692704386198
PC6,meets_activity_guideline,0.46974217047086797,0.46974217047086797
PC6,MET_min_week,0.4523829314104222,0.4523829314104222
PC6,sex,0.27987062970745297,0.27987062970745297
PC6,BMI,0.2567082666123794,0.2567082666123794
PC6,smoking_status,-0.24767414195735898,0.24767414195735898
PC6,mean_SBP,-0.24615413742683814,0.24615413742683814
PC6,height_cm,-0.22900017380963408,0.22900017380963408
PC6,mean_DBP,-0.21987677489969423,0.21987677489969423
PC6,cycle,0.1721450981764815,0.1721450981764815
PC6,sedentary_minutes_day,-0.16585829389521117,0.16585829389521117
PC6,race_ethnicity,-0.14368518608705205,0.14368518608705205
PC6,income_poverty_ratio,0.13856363882573539,0.13856363882573539
PC6,weight_kg,0.12447461559268122,0.12447461559268122
PC6,education,0.1196909099792083,0.1196909099792083
PC6,age,-0.11838312383257829,0.11838312383257829
PC7,mean_SBP,0.35464464245052024,0.35464464245052024
PC7,MET_min_week,0.34485272908376496,0.34485272908376496
PC7,meets_activity_guideline,0.32687167695093755,0.32687167695093755
PC7,BMI,-0.2721459799229341,0.2721459799229341
PC7,mean_DBP,0.25999304582304256,0.25999304582304256
PC7,sedentary_minutes_day,-0.2584341091713081,0.2584341091713081
PC7,cycle,0.2583982937933351,0.2583982937933351
PC7,arthritis_type,0.2180385982381487,0.2180385982381487
PC7,arthritis,0.20265049157339743,0.20265049157339743
PC7,weight_kg,-0.20031663391481788,0.20031663391481788
PC7,adl_difficulty,0.1884251139984016,0.1884251139984016
PC7,age,0.18725799685210637,0.18725799685210637
PC7,upper_limb_difficulty,0.1870884597306488,0.1870884597306488
PC7,sex,-0.16893323795079668,0.16893323795079668
PC7,smoking_status,0.14881445795450998,0.14881445795450998
PC8,education,0.3363007423307893,0.3363007423307893
PC8,BMI,-0.30182411999740083,0.30182411999740083
PC8,mean_DBP,-0.2622732530896829,0.2622732530896829
PC8,race_ethnicity,0.25654703310388527,0.25654703310388527
PC8,income_poverty_ratio,0.2553904969090265,0.2553904969090265
PC8,fasting_glucose,0.23248350437537565,0.23248350437537565
PC8,weight_kg,-0.22327694156208802,0.22327694156208802
PC8,mean_SBP,-0.21989268110266147,0.21989268110266147
PC8,HbA1c,0.2140250821522075,0.2140250821522075
PC8,polypharmacy,0.1969050301335467,0.1969050301335467
PC8,total_cholesterol,0.19472268485383717,0.19472268485383717
PC8,medication_count,0.1861132895937836,0.1861132895937836
PC8,cycle,-0.18148405460254188,0.18148405460254188
PC8,sedentary_minutes_day,0.18038152142669123,0.18038152142669123
PC8,PHQ9_category,0.17041485041646304,0.17041485041646304
PC9,mean_SBP,0.4147523256113802,0.4147523256113802
PC9,mean_DBP,0.4072259842174082,0.4072259842174082
PC9,arthritis_type,-0.36081928685847664,0.36081928685847664
PC9,arthritis,-0.302101635044837,0.302101635044837
PC9,LDL,-0.23146665115371964,0.23146665115371964
PC9,PHQ9_category,0.22811320467382298,0.22811320467382298
PC9,PHQ9_score,0.21225676541773197,0.21225676541773197
PC9,total_cholesterol,-0.21068352326008677,0.21068352326008677
PC9,race_ethnicity,0.19103786128227485,0.19103786128227485
PC9,triglycerides,-0.19023827037354543,0.19023827037354543
PC9,sex,0.14101522753486642,0.14101522753486642
PC9,adl_difficulty,-0.13807182376334376,0.13807182376334376
PC9,smoking_status,-0.13732571273995323,0.13732571273995323
PC9,HDL,0.13701464740614946,0.13701464740614946
PC9,upper_limb_difficulty,-0.13527807883265627,0.13527807883265627
PC10,arthritis_type,0.5720810485852684,0.5720810485852684
PC10,LDL,-0.3032070039091001,0.3032070039091001
PC10,arthritis,0.28417382373435607,0.28417382373435607
PC10,adl_difficulty,-0.25570227125075123,0.25570227125075123
PC10,polypharmacy,-0.23402273977910124,0.23402273977910124
PC10,fasting_glucose,0.2200163108691108,0.2200163108691108
PC10,medication_count,-0.20926370333384708,0.20926370333384708
PC10,race_ethnicity,0.19169156651167593,0.19169156651167593
PC10,age,-0.18477789589954646,0.18477789589954646
PC10,HbA1c,0.1839716112321248,0.1839716112321248
PC10,smoking_status,0.1589528668878682,0.1589528668878682
PC10,total_cholesterol,-0.15836030212451274,0.15836030212451274
PC10,upper_limb_difficulty,-0.15827773821312605,0.15827773821312605
PC10,sex,0.14626375096462155,0.14626375096462155
PC10,education,0.12921751392993333,0.12921751392993333
