sensitive_attribute,subgroup,target_value,within_subgroup_rate
education,1.0,0.0,0.34657039711191334
education,1.0,1.0,0.05703971119133574
education,1.0,2.0,0.31624548736462094
education,1.0,3.0,0.28014440433212995
education,2.0,0.0,0.3147306943543154
education,2.0,1.0,0.05126541207008436
education,2.0,2.0,0.3926022063595068
education,2.0,3.0,0.24140168721609345
education,3.0,0.0,0.36475247524752474
education,3.0,1.0,0.04514851485148515
education,3.0,2.0,0.3920792079207921
education,3.0,3.0,0.19801980198019803
education,4.0,0.0,0.4150826189588769
education,4.0,1.0,0.046465399428500434
education,4.0,2.0,0.3553236426885327
education,4.0,3.0,0.18312833892408995
education,nan,0.0,0.5065950170981924
education,nan,1.0,0.050806057645334635
education,nan,2.0,0.30288226673180263
education,nan,3.0,0.13971665852467025
income_poverty_ratio,0.0,0.0,0.3058823529411765
income_poverty_ratio,0.0,1.0,0.023529411764705882
income_poverty_ratio,0.0,2.0,0.36470588235294116
income_poverty_ratio,0.0,3.0,0.3058823529411765
income_poverty_ratio,0.01,0.0,0.0
income_poverty_ratio,0.01,1.0,0.6666666666666666
income_poverty_ratio,0.01,2.0,0.0
income_poverty_ratio,0.01,3.0,0.3333333333333333
income_poverty_ratio,0.02,0.0,0.36363636363636365
income_poverty_ratio,0.02,1.0,0.09090909090909091
income_poverty_ratio,0.02,2.0,0.18181818181818182
income_poverty_ratio,0.02,3.0,0.36363636363636365
income_poverty_ratio,0.03,0.0,0.18181818181818182
income_poverty_ratio,0.03,1.0,0.09090909090909091
income_poverty_ratio,0.03,2.0,0.5454545454545454
income_poverty_ratio,0.03,3.0,0.18181818181818182
income_poverty_ratio,0.04,0.0,0.2
income_poverty_ratio,0.04,1.0,0.12
income_poverty_ratio,0.04,2.0,0.44
income_poverty_ratio,0.04,3.0,0.24
income_poverty_ratio,0.05,0.0,0.2
income_poverty_ratio,0.05,1.0,0.0
income_poverty_ratio,0.05,2.0,0.5
income_poverty_ratio,0.05,3.0,0.3
income_poverty_ratio,0.06,0.0,0.0
income_poverty_ratio,0.06,1.0,0.0
income_poverty_ratio,0.06,2.0,1.0
income_poverty_ratio,0.06,3.0,0.0
income_poverty_ratio,0.07,0.0,0.14285714285714285
income_poverty_ratio,0.07,1.0,0.0
income_poverty_ratio,0.07,2.0,0.42857142857142855
income_poverty_ratio,0.07,3.0,0.42857142857142855
income_poverty_ratio,0.08,0.0,0.07692307692307693
income_poverty_ratio,0.08,1.0,0.07692307692307693
income_poverty_ratio,0.08,2.0,0.5384615384615384
income_poverty_ratio,0.08,3.0,0.3076923076923077
income_poverty_ratio,0.09,0.0,0.4444444444444444
income_poverty_ratio,0.09,1.0,0.1111111111111111
income_poverty_ratio,0.09,2.0,0.4444444444444444
income_poverty_ratio,0.09,3.0,0.0
income_poverty_ratio,0.1,0.0,0.2857142857142857
income_poverty_ratio,0.1,1.0,0.0
income_poverty_ratio,0.1,2.0,0.42857142857142855
income_poverty_ratio,0.1,3.0,0.2857142857142857
income_poverty_ratio,0.11,0.0,0.6666666666666666
income_poverty_ratio,0.11,1.0,0.0
income_poverty_ratio,0.11,2.0,0.0
income_poverty_ratio,0.11,3.0,0.3333333333333333
income_poverty_ratio,0.12,0.0,0.07692307692307693
income_poverty_ratio,0.12,1.0,0.0
income_poverty_ratio,0.12,2.0,0.6153846153846154
income_poverty_ratio,0.12,3.0,0.3076923076923077
income_poverty_ratio,0.13,0.0,0.3076923076923077
income_poverty_ratio,0.13,1.0,0.07692307692307693
income_poverty_ratio,0.13,2.0,0.38461538461538464
income_poverty_ratio,0.13,3.0,0.23076923076923078
income_poverty_ratio,0.14,0.0,0.0
income_poverty_ratio,0.14,1.0,0.0
income_poverty_ratio,0.14,2.0,1.0
income_poverty_ratio,0.14,3.0,0.0
income_poverty_ratio,0.15,0.0,0.375
income_poverty_ratio,0.15,1.0,0.0
